Kennington,204.3,74.8
Warren Street,185.4,104.9
Goodge Street,187.9,101.9
Leicester Square,191.4,94.2
Oval,200,69.1
Stockwell,195.3,60.4
Clapham North,191.2,52.6
Clapham Common,186,49.2
Clapham South,181.6,41.9
Balham,178.6,34.2
Tooting Bec,176.2,28.2
Tooting Broadway,171.2,17.6
Colliers Wood,166.8,11.2
South Wimbledon,159.4,7.9
Morden,155.1,1.5
Heathrow Terminals 1-2-3,20.5,53.7
Heathrow Terminal 4,24.4,46.8
Hatton Cross,35,51.4
Hounslow West,57,57
Hounslow Central,65.2,55.4
Hounslow East,70.8,57.8
Osterley,74,65
Boston Manor,87.1,76.2
Northfields,91.8,80.2
South Ealing,95.6,81.7
South Harrow,67.8,137.1
Sudbury Hill,75.6,131.2
Sudbury Town,88.1,127
Alperton,97.1,119
Park Royal,107,106
North Ealing,105.2,98.1
Knightsbridge,173.7,85.1
Hyde Park Corner,178.1,86.5
Covent Garden,193.7,95.6
Russell Square,192.9,104.7
Caledonian Road,196,128.8
Holloway Road,200.2,132.5
Arsenal,202.7,137.9
Finsbury Park,203.8,143.9
Manor House,208.6,149.6
Turnpike Lane,204.2,165.8
Wood Green,200.5,172.4
Bounds Green,190.4,181.2
Arnos Grove,186.3,189
Southgate,188.2,201.3
Oakwood,186.3,216.8
Cockfosters,177.6,220.3
Brixton,201.7,52.2
Vauxhall,194.7,72.4
Pimlico,189.8,75.5
Highbury & Islington,204.1,126
Seven Sisters,219.2,160.5
Tottenham Hale,228.2,164.8
Blackhorse Road,238.5,162.7
Walthamstow Central,253.4,161.1
Limehouse,239.2,97.1
Westferry,246.8,95.3
Poplar,254.6,93.8
All Saints,256.2,96.4
Devons Road,253.3,103.8
Bow Church,250.9,108.9
Pudding Mill Lane,255.8,115.7
West India Quay,252.2,91.3
Heron Quay,252,86.8
South Quay,254.1,85.5
Crossharbour and London Arena,256.1,80.3
Mudchute,257.1,76.5
Island Gardens,259,74.3
Cutty Sark,259.2,69.3
Greenwich,256.1,65.7
Deptford Bridge,253.9,63.7
Elverston Road,254.6,58.3
Lewisham,256.5,54.5
Blackwall,258.7,93.7
East India,263.3,94.3
Royal Victoria,272.5,93
Custom House,277.9,93.2
Prince Regent,281.4,93.3
Royal Albert,288.9,93.2
Beckton Park,292.7,93.3
Cyprus,296.6,93.3
Gallions Reach,301.5,94.2
Beckton,296,99.3
Tower Gateway,222.7,94.7
